0, 0, 800, 20
0, 0, 20, 600
0, 600, 820, 20
800, 0, 20, 600
150, 100, 20, 100
100, 200, 20, 200 
500, 200, 20, 200 
300, 500, 200, 20 
120, 300, 200, 20
680, 60, 20, 200
520, 200, 100, 20
600, 440, 160, 20
600, 440, 20, 120
660, 520, 100, 20
380, 60, 20, 180
200, 220, 200, 20
310, 280, 20, 60
260, 0, 20, 60
480, 0, 20, 100
220, 560, 20, 60
540, 440, 20, 160
0, 140, 80, 20
0, 500, 180, 20
640, 340, 180, 20
300, 400, 20, 60
200, 340, 20, 60
560, 120, 140, 20
760, 180, 60, 20
400, 500, 20, 60

440, 480, 20, 20
740, 540, 20, 20
100, 480, 20, 60
20, 380, 20, 20
130, 140, 20, 20
400, 180, 20, 20
520, 340, 20, 20
600, 20, 20, 20
720, 360, 20, 20
